Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientists,"₹600K
₹980K","Data Scientists

Bengaluru, India
JOB DESCRIPTION

As a Data Scientist with Tredence, you will play a key role in translating data into insights for our clients. You will design, develop and implement processes and framework that will help our clients make sense of the data they generate, and consume the insights to make informed decisions.
THE IDEAL CANDIDATE WILL

Have the ability to handle structured /unstructured data and have prior experience in loading, validating and cleaning various types of data.
Have very good understanding of data structures and algorithms.
Have excellent coding skills in one or more of the following languages: Python, Java, C++ or R
Have thorough understanding of one or more of the following: Machine Learning algorithms, Natural Language Processing techniques, and Information Retrieval techniques
Have the ability to apply these algorithms in a professional setting.
Be accountable for measuring and optimizing the quality of algorithms.
Have good background in Math and Statistics.
Have ability to identify opportunities where data science techniques can be applied to solve business problems.
Take ownership of the end to end system from Problem statement to Solution Delivery
Preferred Skills
Experience working with Hadoop/AzureML/Hive/H2O would be an added advantage.
Experience with deep learning techniques like Theano, Torch and TensorFlow is preferred.
ELIGIBILITY CRITERIA

BE/B. Tech/MS degree in Computer Science or related quantitative field with 2-8 years or relevant experience in a team building world class applications in the areas of Predictive Analytics and Data Science.
Send your CV to careers@tredence.com",3.4,"Tredence
3.4",Bangalore,-1,501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
Data Scientist,"₹1,660K
₹2,892K","If you are a data junkie who would like to wrangle through huge data sets of usage, stats, clickstreams, free text feedbacks and more to predict the user experience, adoption and retention. You like to solve complex and challenging problems and articulate the results in a lucid manner. Then we’ve got the problem for you and the data to solve it.

In your role as data scientist you will :
Select features, building and optimizing classifiers using machine learning techniques
Build statistical/machine learning models to extract insights
Create automated anomaly detection systems and constant tracking of its performance
Collaborate with subject matter experts to determine relevant data sources
Communicate the insights/recommendations to a wide spectrum of stake holder
Act as a mentor to guide/train less experienced folks
Desired Skills and experience:
B.E/Masters in Computer science/Statistics or equivalent
At least 5 years of experience in predictive modelling, strong knowledge of machine learning algorithms.
Strong in R,Python (numpy, scipy etc)
Very strong SQL and data visualization
Exposure to Big Data platforms such as Spark, Mahout, Scala, AWS machine learning is a plus
Great communications skills
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon, including its compensation and benefits programs, in due course. This position will be part of that planned integration.",3.0,"BlueJeans
3.0",Bangalore,-1,201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Analyst,"₹812K
₹1,283K","At Telstra, we believe the more connected people are, the more opportunities they have. That's why we help create a brilliant connected future for everyone, everyday.

Who we are?

Telstra is Australia's leading telecommunications and technology company with a rich heritage that’s been built over 100 years. From our humble beginnings in the Postmaster General’s Office to the global business we are today our people have been at the forefront of technology innovation. More recently, we have the largest Internet of Things network in Australia and are leading the way in 5G. And this is just the beginning of what we’re hoping to achieve together. We offer a full range of services and compete in all telecommunications markets throughout Australia and are the most well-known brand in technology and communications industry.

We have operations in more than 20 countries, including in India where we’ve opened an Innovation and Capability Centre (ICC) in Bangalore, and have a presence in Pune and Hyderabad. In India, we’ve set out to build a platform for innovative delivery and engagement that will strengthen our position as an industry leader. We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.

Our Global Business Services (GBS) function brings together and radically simplifies customer service operations and internal support services. GBS will drive a consistent approach to customer experience, efficiency and service levels.

About the role:

The Data Analyst role will be part of a newly formed Data Enablement – Innovation & Process team that will support the execution of the Innovation agenda, including Process optimisation that is executed by Process@Telstra team. On one hand this would involve analysing data requirements and curating data from across multiple systems and on the other, setting up processes/technology to enable scale operations supporting data-driven improvements across Telstra. The person is expected to engage with stakeholders across data teams in Telstra to enable an efficient data enablement.

You will:

To be successful to the role, you’ll:

Bring meaning to data by linking business knowledge with data systems. It includes setting a vision for data-driven improvements across the company, including automated flow of information across the complex data landscape at Telstra to enable real-time to near real-time decision making.

Key responsibilities are:

Perform in-depth quantitative analysis, articulate complex data patterns, insights and propose actionable insights to stakeholders in meaningful business language
Use innovative and creative approaches to enable business decisions to be made using data analysis which help to translate complex business problems
Develop data analysis and ongoing insights leveraging multiple data sources that test hypotheses and correspond to business performance metrics
Engage with external and internal stakeholders to explore potential technical solutions to drive data enablement to allow for Machine learning solutions, continuous process monitoring

Qualifications:

4+ years of experience in a Data Engineer/Data Analyst role, experience and business understanding within the Telco value chain (from Sell to Connect to Assure to Bill and associated data captured) is highly desirable.
A graduate degree in any technology area or another quantitative field
Strong understanding of various Telstra data systems and the way data flows (Siebel, Maxim, Omful, Salesforce, Amdocs, Servicenow, Kenan, SIIAM, Workday)
Expertise in Agile Methodologies, MS SQL (as well as T-SQL), Excel (Including PowerPivot), and PowerPoint
Working experience in Machine Learning models (as well as designing, development and delivery) is highly desirable
Demonstrated ability to complete tasks to the required standard within given deadlines and allotted time/budget

Here you’ll have the opportunity to work with some of the best minds in the industry, people who are passionate about Telstra and technology, and who work together to achieve great things.

Not only will you be rewarded with a competitive salary package, but there are a range of lifestyle products and services that you can access, including options to purchase additional leave, volunteer leave and the list goes on.

Sounds like you?

A career with us will give you a platform to shape tomorrow through technology. For you, that means helping us to push the boundaries of what’s possible today, and in the future. It also gives you the opportunity to empower millions helping businesses grow, evolve and reach their potential.

At Telstra, you can thrive, your way. We foster new ideas, we embrace different ways of working and thinking, and we believe an inclusive and diverse team will lead us to innovate for the future.

We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit our Telstra Careers Website: http://tel.st/allrolesflex",3.7,"Telstra
3.7",Bangalore,-1,10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
Senior Data Scientist (NLP),"₹368K
₹738K","Job Description:
1. 5+ years of Hands-on Python/R/JAVA programming skills
2. Hands-on working experience in deep NLP Learning algorithms experiences in unstructured text data analysis across industries. The added advantage would be experienced with Stanford Parser and document analysis.
3. Experience in platform development, distributed computing
4. Competence with Agile Development approach
5. Exposure in working with Linux computing environment is plus
6. Deep understanding in information retrieval, computational linguistics
7. Engineering ability to build robustly scalable pipelines

Job Responsibilities:
1. Build product capabilities to analyze documents and data on a large scale.
2. Ability to deliver :
a. Next-generation analytics platform deployed on private and/or public cloud
b. Front-end web applications and back-end services that integrate with other products.
c. High-performance processing with robust analytic data pipeline
3. Research and evaluate different approaches to NLP problems
4. Ability to work in a multi-disciplinary team with a strong product focus
5. Automate and streamline existing processes, procedures, and toolsets whenever needed

Note: Minimum 3 years of work experience with NLP is mandatory.",4.0,"Visible Alpha
4.0",Mumbai,-1,501 to 1000 Employees,2011,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
Analytics Consultant,"₹600K
₹980K","Analytics Consultant

Bengaluru, India
JOB DESCRIPTION

As an Analytics Consultant with Tredence you will work in a challenging environment with smart peer group. In your role, you will work hands on and provide thought leadership to real life business problems using analytical thinking and by applying complex mathematical techniques.
THE IDEAL CANDIDATE WILL

Solve business problems which involves:
Brainstorming with clients/onsite and internal teams to define a problem
Translate the business problem into an analytical problem
Identify internal and external data requirements for solving the analytical problem
Solving the analytical problem using concepts from mathematics, statistics, Artificial Intelligence and Machine learning
Translate the solution to a business solution and create artefacts that can help communicate the solution to clients like dashboards, power point slides, excel sheets etc.
Understand challenges faced by our clients in the context of their business and industry
Work hands on and provide thought leadership to real life business problem
Use analytical thinking and apply complex mathematical techniques
Work in a challenging environment with smart peer group
ELIGIBILITY CRITERIA

Bachelors in Engineering or Masters in Statistics/Economics
At least 5 years of working experience in analytics
Experience in statistical techniques such as Regression, Clustering & Time Series Forecasting, etc.
Strong analytical/logical thinking and communication skills
Proficient in:
SQL, R and/or Python
Visualization tools like Tableau or SpotFire
Send your CV to careers@tredence.com",3.4,"Tredence
3.4",Bangalore,-1,501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
Data Analyst,"₹331K
₹685K","Punchh creates the consistent, modern experiences consumers expect by bringing the power of identity resolution into physical retail. Punchh is the leader in delivering one-to-one customer engagement and loyalty beyond mobile devices for a consistent brand experience through every channel. The Punchh Loyalty and Engagement Platform, powered through artificial intelligence, guides consumers through their lifecycle from first-time customer to superfan, building meaningful relationships and dramatically increasing lifetime customer value. Nearly 200 global enterprise brands rely on Punchh to grow revenue by building customer relationships. The company is based in Silicon Valley, California with a second US office in Austin, TX and global offices across Canada, India, the United Kingdom, and Singapore.

Punchh, Jaipur is looking out for a Data Analyst, who will take ownership of data analytics activities and work closely with end users (both internal and external clients) to translate requirements into data-driven applications and data visualization solutions (e.g. reporting and dashboards)

Total and Relevant Experience Required: 2+ years

Job Location: Jaipur

Key Responsibilities:
Participate in client calls with senior executives who are based in different geography and hence different time zone to understand business needs and define reporting solutions
Work with the CS managers to develop an insightful analytics report for our clients. Make actionable business recommendations. Define performance measurement / KPI / recurring reports.
Be One of the key owners of the quarterly business review process that highlight the relevant business opportunities.
Be a key liaison between the data and CS teams to:
Address and resolve data requests.
Ensure high quality of our data warehouse.
Represent the company's expertise in advanced analytics in a variety of media outlets such as client interactions, conferences, blogs, and interviews.
Skillset Required
Relevant experience in analytics
Advanced degree in Data technology, business, economics, statistics or other related fields, with a strong interest in marketing technology.
Expertise in creating analytics dashboards using such as Tableau (preferably), Power BI, etc from various data sources.
Strong knowledge of and experience with databases (SQL, Redshift, Snowflake, etc.)
Self-starter, with a keen interest in technology and highly motivated towards success
Must be proactive and be prepared to address meeting in different time zones.
Good to have skillset: R, Python, Tableau Server, Big Data Tools like Databricks, Spark",4.1,"Punchh
4.1",Jaipur,-1,201 to 500 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
Data Scientist,"₹126K
₹2,564K","The Company

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.

The Role

We are seeking Data Scientist

Responsibilities

Role Overview:
Explore large datasets to surface useful trends, signals, and segments. The role drives business and industry solutions focused on Big Data and Advanced Analytics. Domain expertise in Manufacturing/Healthcare/Telecom/Financial Services is a key aspect. The role uses analytics to provide predictive, prescriptive, and decisive insight.

Job Description:
• Interact with customers to understand business objectives and create analytical strategies to help achieve them.
• Enhancing data collection procedures to include information that is relevant for building analytic systems.
• Processing, cleansing, and verifying the integrity of data used for analysis.
• Analyze and model structured data using advanced statistical methods.
• Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.
• Analyze data using open source packages and commercial/enterprise applications
• Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods.
• Selecting features, building and optimizing classifiers using machine learning techniques.
• Implement algorithms and software needed to perform analyses.
• Drive client engagements focused on Big Data and Advanced Business Analytics.
• Doing ad-hoc analysis and presenting results in a clear manner.
• Communicate results and educate others through reports and presentations. Skills Required â€¢ Expertise in Data Mining, Data wrangling, and data munging using one or more of the most commonly used data science tools: R, Python, SAS, SPSS, Weka â€¢ Experience in end-to-end data science and engineering activities.
• Expertise in client engagement, data science consulting type activities.
• Must have led a team of data engineers and data scientists in leading data science engagements.
• Experience with analytics in IT and IoT space is a plus.
• Knowledge and experience in Hadoop (Map Reduce paradigm) etc.
• Must be hands-on and must have worked on implementing machine learning and data mining algorithms.
• Passion for finding meaning in large data sets and identifying actionable results.
• Excellent communication skills (both written and verbal) and interpersonal skills.
• Experience working with and transforming large data sets.
• Understanding of business value and how this relates to actionable results.
• Ability to identify or interpret many inputs and requirements then transforming them into actionable plans.
• Ability to take vaguely defined data sets and requirements then proactively identify and partner with needed SMEs to provide interpretations tailored to individual client needs.
• Ability to visualize data results into meaningful workflows including charts and graphs
• Experience in scripting languages with experience in scripting to integrate software solutions is a plus.
• Additional Skills (optional) Scala, Spark, H2O,Mahout, Hive
• Product Knowledge: At least 3 of the following: o R, Python (Scikit-learn, numpy, etc), Weka, SAS, SPSS, MATLAB/Octave, Hadoop (Map Reduce programming).
• Ability to work in a Linux environment, and process large amounts of data in a cloud environment.
• Knowledge in Search Engine: such as Elastic, Apache Lucene/Solr
Qualifications
Bachelor
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",2.7,"Hitachi Vantara
2.7",Hyderābād,-1,5001 to 10000 Employees,1989,Subsidiary or Business Segment,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,"₹70K
₹4,035K","Introduction
As a Data Scientist at IBM, you will help transform our clients data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether its investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
As a Data Scientist, you will be part of our growing team of data scientists and experts. You will be responsible for expanding and optimizing our data models, prediction algorithms correlation algorithms as well as text analytics models. You will support our software developers, data engineers on building and enhancing models. You must be self- directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re- designing our real time anomaly detection, correlation and forecasting models. You will be working on as a Data Scientist. The solutions developed by you would be highly scalable leveraging that needs to be run in Kubernetes Container environment.

Responsibilities:

Some of the Solutions we work involve the following
Real time anomaly detection solutions that proactively identify service impacting incidents and prevent system downtimes. This is done by leveraging an ensemble of Deep learning and LSTM models.
Natural Language Processing for entity, topic clusters and relationship extraction
Text Analytics in human generated tickets and correlation with event tickets for event noise reduction. ApplyNatural Language Classification and RNN algorithms to automatically route tickets
Log Analysis - Text mining, message clustering / templatization, Logs to metrics, anomaly detection, event annotation and sequencing
Learn Log Message Sequence for each mainframe batch job and Identify Anomalies during job runs using sequence mining techniques and provide early warning / alerts
Cloud Migration - Patterns-based discovery optimization: Identify potential business application boundaries using algorithmic approach from Cloudscape data.
Wave planner: Employ goal-based reasoning from AI planning capabilities for Server affinity, cost, time, black-out windows, etc.To power the above use cases, we have a Big Data system that can handle 2-3 TB of data daily and we manage a data lake that is 15 PB in size.
Required Technical and Professional Expertise
Degree in Statistics, Mathematics, Computer Science or another quantitative field with 6 to 8 years of experience in manipulating data sets and building statistical models
Experience in using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
Experience in creating and using advanced machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience in visualizing or presenting data for stakeholders using Excel, PowerBI, Tableau etc.
Experience with distributed data or computing tools such as Hive, Spark, MySQL, etc
Experience creating and using advanced machine learning algorithms and statistics:
regression, simulation, scenario analysis, modelling, clustering, decision trees, etc.
Strong knowledge of Java or Python and general software development skills
(source code management, debugging, testing, deployment, etc.)
Preferred Technical and Professional Expertise
Bachelors degree in Computer Science, Mathematics, Physics, Computational Linguistics, or related field
Experience with open-source distributed data processing frameworks, such as Spark
Experience working in a Linux environment
Experience working on a development team building product
Experience with presenting complex data science processes/information to non-data scientists
Experience with Information Retrieval and relevant tools such as Lucene, Elasticsearch, Solr
Experience with conducting projects from requirements generation, annotation, and modeling, through NLP output deliverables and management of internal/external clients
Prioritization skills; ability to manage ad-hoc requests in parallel with ongoing projects
About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Gurgaon,-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
Data Scientist,"₹150K
₹3,029K","Job Description:


Job Title - Data Scientist

Location- Pune

Role Description


Within the HR function, we are looking for a Data Scientist who will help discover information hidden in the data available and help the business to drive the strategy with data-based insights. Data scientist must be able to apply their analytical, statistical and programming skills to collect, analyze and interpret large data sets and present the outcomes using various data visualization techniques apt for different kind of stakeholders. Data scientist then should use such outcomes to develop data driven solutions and support stakeholders to improve business outcomes.

What we’ll offer you

As part of our flexible scheme, here are just some of the benefits that you’ll enjoy

· Best in class leave policy

· Gender neutral parental leaves

· 100% reimbursement under child care assistance benefit (gender neutral)

· Flexible working arrangements

· Sponsorship for Industry relevant certifications and education

· Employee Assistance Program for you and your family members

· Comprehensive Hospitalization Insurance for you and your dependents

· Accident and Term life Insurance

Complementary Health screening for 35 yrs. and above

Areas of Specialty
Data Mining: Ability to perform statistical analysis, prepare forecasting and predictive models etc.
AI & Machine Learning: Ability to build AI Models/Machine Learning models to automate the processes and continuously enhance the model based on data changes
Programming Skills: Ability to write programs/scripts in popular scripting and programming languages
Data Profiling & Quality: Ability to perform data quality checks on the source data ensuring good data quality for the model inputs
Data Visualization: Ability to present the outcomes in the most effective way
Responsibilities
Work continuously with stakeholders to identify opportunities of leveraging data to help in business solutions and driving business strategy; in this case it will be for the HR function of a large European bank
Analyze data to find patterns by applying data mining techniques and performing statistical analysis
Build AI tools to automate the processes; create machine learning based tools or processes
Develop high quality predictive modeling systems to provide HR with crucial results helping business to take smart decisions around workforce planning e.g. identification of potential leavers/movers
Develop data collection processes from a wide variety of sources including the data verification steps to ensure bringing the right quality of data and continuous monitoring of data performance
Use third party data in collaboration with organization’s data to have better insights and comparison with industry parameters
Develop and automate testing & verification framework for testing the quality of the various models being developed or already in production
Develop smart data visualization techniques/approaches conveying the outcomes in a clear and intuitive manner
Recruit, train and lead a team of data scientists
Evaluate new and emerging technologies
Skills & Qualifications
Excellent understanding and experience with common data science tools and data mining technologies
Exposure of AI & Machine Learning techniques and algorithms
Good demonstrable experience with data visualization tools and reporting technologies
Good experience with different databases including RDBMS, NoSQL databases and formats like JSON, XML etc.
Excellent scripting and programming skills like Python, R, Java, Scala etc.
Strong analytical and problem solving skills
Proficient written and verbal communication skills
Exposure to Big Data and Business Analytics technologies
Experience with cloud technologies
Data oriented personality with a drive to learn and master new technologies
Education/Certification


Graduation/Post-graduation from an accredited college or university with a concentration in Statistics or Computer Science (or equivalent)

Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital / civil partnership status, sex (including pregnancy), age, religion, belief, race, nationality and ethnic or national origin, colour, sexual orientation or disability.

How we’ll support you

· Training and development to help you excel in your career

· Flexible working to assist you balance your personal priorities

· Coaching and support from experts in your team

· A culture of continuous learning to aid progression

· A range of flexible benefits that you can tailor to suit your needs

About us and our teams

Please visit our company website for further information:

https://www.db.com/company/company.html

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Click here to find out more about our diversity and inclusion policy and initiatives.",3.6,"Deutsche Bank
3.6",Pune,-1,10000+ Employees,1870,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Data Scientist,"₹400K
₹2,594K","As our Data Scientist, you'll develop complex statistical models and machine learning algorithms to tackle critical product and business challenges. Working with product teams you will implement data science models that integrate into live production systems. Through deep behavioral analytics, you’ll uncover significant product insights to help improve our player experiences. As an SME in our organization, you’ll level-up our data science infrastructure and tools, by contributing directly to our Data Intelligence vision and associated Engineering stack.

Responsibilities
Selecting features, building and optimizing machine learning algorithms that impact the business.
E2E algorithm deployment working closely with engineering teams.
Data mining using state-of-the-art methods and develop internal A/B testing procedures.
Find opportunities to automate fraud detection, personalization, etc using machine learning algorithms and working with tech teams.
Processing, cleansing, and verifying the integrity of data used for analysis.
Propose hypotheses and design experiments in the context of specific problems.
Creating automated anomaly detection systems and constant tracking of its performance.
Extending the company’s data with third-party sources of information when needed in form of Restful APIs.
Requirements
Advanced degree in Engineering, Statistics, Economics, Computer Science or Mathematics
Experience in big data analytics
2+ years of experience as an analyst in the BI space
Experience in Machine Learning: Data /Text Mining, NLP, Ensemble methods, Search Algorithms, Deep Learning algorithms
Good applied statistics skills such as distributions, statistical testing, regression, etc.
Experience in scripting languages like Python/ Julia. PySpark experience will be preferred
Deep understanding of SQL (Presto, Hive, MS SQL) - write efficient codes and decipher query plans to identify performance bottlenecks
Experience with NoSQL databases, such as MongoDB/ Cassandra.
Experience in deep learning frameworks like Tensorflow, PyTorch or similar technologies. E2E experience including model serving will be preferred.
Basic understanding of AWS will help but it is not preferred
Data-oriented personality and scientific temperament that seeks to rigorously validate hypothesis/ ideas.
Great communication skills.",4.4,"Junglee Games
4.4",Gurgaon,-1,201 to 500 Employees,2012,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$25 to $50 million (USD),-1
